,shift_id,start_time,end_time,Trauma SICU (TSICU),Cardiac Vascular Intensive Care Unit (CVICU),Coronary Care Unit (CCU),Medical Intensive Care Unit (MICU),Medical/Surgical Intensive Care Unit (MICU/SICU),Surgical Intensive Care Unit (SICU),Neuro Surgical Intensive Care Unit (Neuro SICU),Neuro Stepdown,Neuro Intermediate
59,60,2008-01-10T20:00:00.000Z,2008-01-11T00:00:00.000Z,2,2,5,6,4,5,0,0,0
60,61,2008-01-11T00:00:00.000Z,2008-01-11T04:00:00.000Z,2,2,5,6,4,5,0,0,0
61,62,2008-01-11T04:00:00.000Z,2008-01-11T08:00:00.000Z,3,3,5,6,4,5,0,0,0
62,63,2008-01-11T08:00:00.000Z,2008-01-11T12:00:00.000Z,4,4,5,6,3,5,0,0,0
63,64,2008-01-11T12:00:00.000Z,2008-01-11T16:00:00.000Z,3,3,5,6,3,5,0,0,0
64,65,2008-01-11T16:00:00.000Z,2008-01-11T20:00:00.000Z,3,3,5,7,4,6,0,0,0
65,66,2008-01-11T20:00:00.000Z,2008-01-12T00:00:00.000Z,3,3,5,7,3,6,0,0,0
66,67,2008-01-12T00:00:00.000Z,2008-01-12T04:00:00.000Z,3,3,5,7,2,7,0,0,0
67,68,2008-01-12T04:00:00.000Z,2008-01-12T08:00:00.000Z,2,3,5,7,2,7,0,0,0
68,69,2008-01-12T08:00:00.000Z,2008-01-12T12:00:00.000Z,2,3,5,6,2,8,0,0,0
69,70,2008-01-12T12:00:00.000Z,2008-01-12T16:00:00.000Z,2,3,6,6,2,8,0,0,0
70,71,2008-01-12T16:00:00.000Z,2008-01-12T20:00:00.000Z,2,3,6,6,3,8,0,0,0
71,72,2008-01-12T20:00:00.000Z,2008-01-13T00:00:00.000Z,2,3,5,7,3,9,0,0,0
72,73,2008-01-13T00:00:00.000Z,2008-01-13T04:00:00.000Z,2,3,5,7,3,9,0,0,0
73,74,2008-01-13T04:00:00.000Z,2008-01-13T08:00:00.000Z,2,3,5,7,3,9,0,0,0
74,75,2008-01-13T08:00:00.000Z,2008-01-13T12:00:00.000Z,2,4,5,7,3,9,0,0,0
75,76,2008-01-13T12:00:00.000Z,2008-01-13T16:00:00.000Z,2,4,5,7,4,9,0,0,0
76,77,2008-01-13T16:00:00.000Z,2008-01-13T20:00:00.000Z,2,4,4,6,4,8,0,0,0
77,78,2008-01-13T20:00:00.000Z,2008-01-14T00:00:00.000Z,2,4,4,6,3,6,0,0,0
78,79,2008-01-14T00:00:00.000Z,2008-01-14T04:00:00.000Z,3,3,3,6,3,6,0,0,0
79,80,2008-01-14T04:00:00.000Z,2008-01-14T08:00:00.000Z,4,3,3,6,3,5,0,0,0
80,81,2008-01-14T08:00:00.000Z,2008-01-14T12:00:00.000Z,5,4,3,6,3,5,0,0,0
81,82,2008-01-14T12:00:00.000Z,2008-01-14T16:00:00.000Z,5,4,3,6,3,5,0,0,0
82,83,2008-01-14T16:00:00.000Z,2008-01-14T20:00:00.000Z,5,2,3,5,3,5,0,0,0
83,84,2008-01-14T20:00:00.000Z,2008-01-15T00:00:00.000Z,5,2,2,5,2,6,0,0,0
84,85,2008-01-15T00:00:00.000Z,2008-01-15T04:00:00.000Z,5,2,2,5,2,6,0,0,0
85,86,2008-01-15T04:00:00.000Z,2008-01-15T08:00:00.000Z,5,2,3,6,1,6,0,0,0
86,87,2008-01-15T08:00:00.000Z,2008-01-15T12:00:00.000Z,5,3,3,6,2,6,0,0,0
87,88,2008-01-15T12:00:00.000Z,2008-01-15T16:00:00.000Z,5,4,3,6,2,7,0,0,0
88,89,2008-01-15T16:00:00.000Z,2008-01-15T20:00:00.000Z,4,3,3,6,2,8,0,0,0
89,90,2008-01-15T20:00:00.000Z,2008-01-16T00:00:00.000Z,3,3,2,5,2,9,0,0,0
90,91,2008-01-16T00:00:00.000Z,2008-01-16T04:00:00.000Z,3,3,1,5,2,9,0,0,0
91,92,2008-01-16T04:00:00.000Z,2008-01-16T08:00:00.000Z,3,3,1,4,2,9,0,0,0
92,93,2008-01-16T08:00:00.000Z,2008-01-16T12:00:00.000Z,3,4,1,4,4,9,0,0,0
93,94,2008-01-16T12:00:00.000Z,2008-01-16T16:00:00.000Z,3,5,1,4,4,9,0,0,0
94,95,2008-01-16T16:00:00.000Z,2008-01-16T20:00:00.000Z,3,5,0,4,4,8,0,0,0
95,96,2008-01-16T20:00:00.000Z,2008-01-17T00:00:00.000Z,3,4,1,4,4,7,0,0,0
96,97,2008-01-17T00:00:00.000Z,2008-01-17T04:00:00.000Z,3,4,1,5,4,7,0,0,0
97,98,2008-01-17T04:00:00.000Z,2008-01-17T08:00:00.000Z,5,4,1,5,4,7,0,0,0
98,99,2008-01-17T08:00:00.000Z,2008-01-17T12:00:00.000Z,5,4,1,5,4,7,0,0,0
99,100,2008-01-17T12:00:00.000Z,2008-01-17T16:00:00.000Z,5,4,2,5,4,7,0,0,0
100,101,2008-01-17T16:00:00.000Z,2008-01-17T20:00:00.000Z,5,2,2,5,3,7,0,0,0
101,102,2008-01-17T20:00:00.000Z,2008-01-18T00:00:00.000Z,6,2,2,5,2,7,0,0,0
102,103,2008-01-18T00:00:00.000Z,2008-01-18T04:00:00.000Z,6,2,2,7,2,7,0,0,0
103,104,2008-01-18T04:00:00.000Z,2008-01-18T08:00:00.000Z,7,2,2,7,2,7,0,0,0
104,105,2008-01-18T08:00:00.000Z,2008-01-18T12:00:00.000Z,7,2,2,7,2,7,0,0,0
105,106,2008-01-18T12:00:00.000Z,2008-01-18T16:00:00.000Z,7,2,2,7,2,7,0,0,0
106,107,2008-01-18T16:00:00.000Z,2008-01-18T20:00:00.000Z,7,2,2,7,2,7,0,0,0
107,108,2008-01-18T20:00:00.000Z,2008-01-19T00:00:00.000Z,8,1,2,7,1,7,0,0,0
108,109,2008-01-19T00:00:00.000Z,2008-01-19T04:00:00.000Z,8,1,2,7,1,7,0,0,0
109,110,2008-01-19T04:00:00.000Z,2008-01-19T08:00:00.000Z,7,1,2,7,2,7,0,0,0
110,111,2008-01-19T08:00:00.000Z,2008-01-19T12:00:00.000Z,8,1,2,7,2,7,0,0,0
111,112,2008-01-19T12:00:00.000Z,2008-01-19T16:00:00.000Z,9,1,3,7,4,7,0,0,0
112,113,2008-01-19T16:00:00.000Z,2008-01-19T20:00:00.000Z,9,1,3,7,4,7,0,0,0
113,114,2008-01-19T20:00:00.000Z,2008-01-20T00:00:00.000Z,9,0,2,7,5,8,0,0,0
114,115,2008-01-20T00:00:00.000Z,2008-01-20T04:00:00.000Z,8,0,2,8,6,9,0,0,0
115,116,2008-01-20T04:00:00.000Z,2008-01-20T08:00:00.000Z,8,0,3,8,6,9,0,0,0
116,117,2008-01-20T08:00:00.000Z,2008-01-20T12:00:00.000Z,8,2,3,8,6,9,0,0,0
117,118,2008-01-20T12:00:00.000Z,2008-01-20T16:00:00.000Z,8,4,3,8,6,9,0,0,0
118,119,2008-01-20T16:00:00.000Z,2008-01-20T20:00:00.000Z,7,4,3,8,5,8,0,0,0
119,120,2008-01-20T20:00:00.000Z,2008-01-21T00:00:00.000Z,5,4,3,8,5,7,0,0,0
120,121,2008-01-21T00:00:00.000Z,2008-01-21T04:00:00.000Z,5,4,3,8,5,7,0,0,0
121,122,2008-01-21T04:00:00.000Z,2008-01-21T08:00:00.000Z,5,4,3,8,5,7,0,0,0
122,123,2008-01-21T08:00:00.000Z,2008-01-21T12:00:00.000Z,5,4,3,7,5,7,0,0,0
123,124,2008-01-21T12:00:00.000Z,2008-01-21T16:00:00.000Z,6,5,3,7,6,7,0,0,0
124,125,2008-01-21T16:00:00.000Z,2008-01-21T20:00:00.000Z,6,5,4,7,7,6,0,0,0
125,126,2008-01-21T20:00:00.000Z,2008-01-22T00:00:00.000Z,6,5,4,6,7,5,0,0,0
126,127,2008-01-22T00:00:00.000Z,2008-01-22T04:00:00.000Z,6,5,4,7,7,6,0,0,0
127,128,2008-01-22T04:00:00.000Z,2008-01-22T08:00:00.000Z,6,6,4,8,7,6,0,0,0
128,129,2008-01-22T08:00:00.000Z,2008-01-22T12:00:00.000Z,6,6,4,9,7,6,0,0,0
129,130,2008-01-22T12:00:00.000Z,2008-01-22T16:00:00.000Z,6,6,4,9,7,6,0,0,0
130,131,2008-01-22T16:00:00.000Z,2008-01-22T20:00:00.000Z,6,5,4,9,8,6,0,0,0
131,132,2008-01-22T20:00:00.000Z,2008-01-23T00:00:00.000Z,5,4,4,9,6,5,0,0,0
132,133,2008-01-23T00:00:00.000Z,2008-01-23T04:00:00.000Z,5,4,4,9,5,5,0,0,0
133,134,2008-01-23T04:00:00.000Z,2008-01-23T08:00:00.000Z,5,4,5,9,5,5,0,0,0
134,135,2008-01-23T08:00:00.000Z,2008-01-23T12:00:00.000Z,5,5,5,9,6,5,0,0,0
135,136,2008-01-23T12:00:00.000Z,2008-01-23T16:00:00.000Z,5,5,7,10,6,5,0,0,0
136,137,2008-01-23T16:00:00.000Z,2008-01-23T20:00:00.000Z,5,5,6,9,6,5,0,0,0
137,138,2008-01-23T20:00:00.000Z,2008-01-24T00:00:00.000Z,4,5,6,8,2,5,0,0,0
138,139,2008-01-24T00:00:00.000Z,2008-01-24T04:00:00.000Z,4,4,6,8,3,5,0,0,0
139,140,2008-01-24T04:00:00.000Z,2008-01-24T08:00:00.000Z,4,4,6,8,4,5,0,0,0
140,141,2008-01-24T08:00:00.000Z,2008-01-24T12:00:00.000Z,4,4,6,8,4,5,0,0,0
141,142,2008-01-24T12:00:00.000Z,2008-01-24T16:00:00.000Z,6,5,6,8,4,5,0,0,0
142,143,2008-01-24T16:00:00.000Z,2008-01-24T20:00:00.000Z,6,5,6,8,4,5,0,0,0
143,144,2008-01-24T20:00:00.000Z,2008-01-25T00:00:00.000Z,6,4,4,8,4,3,0,0,0
144,145,2008-01-25T00:00:00.000Z,2008-01-25T04:00:00.000Z,5,3,4,6,3,3,0,0,0
145,146,2008-01-25T04:00:00.000Z,2008-01-25T08:00:00.000Z,6,3,4,6,3,3,0,0,0
146,147,2008-01-25T08:00:00.000Z,2008-01-25T12:00:00.000Z,6,4,3,6,3,3,0,0,0
147,148,2008-01-25T12:00:00.000Z,2008-01-25T16:00:00.000Z,6,4,3,6,3,4,0,0,0
148,149,2008-01-25T16:00:00.000Z,2008-01-25T20:00:00.000Z,6,4,3,6,3,4,0,0,0
149,150,2008-01-25T20:00:00.000Z,2008-01-26T00:00:00.000Z,7,2,2,6,2,4,0,0,0
150,151,2008-01-26T00:00:00.000Z,2008-01-26T04:00:00.000Z,7,2,2,7,2,4,0,0,0
151,152,2008-01-26T04:00:00.000Z,2008-01-26T08:00:00.000Z,7,2,2,7,2,4,0,0,0
152,153,2008-01-26T08:00:00.000Z,2008-01-26T12:00:00.000Z,7,3,2,7,2,4,0,0,0
153,154,2008-01-26T12:00:00.000Z,2008-01-26T16:00:00.000Z,7,3,2,7,2,5,0,0,0
154,155,2008-01-26T16:00:00.000Z,2008-01-26T20:00:00.000Z,6,3,2,6,1,6,0,0,0
155,156,2008-01-26T20:00:00.000Z,2008-01-27T00:00:00.000Z,6,2,2,5,1,6,0,0,0
156,157,2008-01-27T00:00:00.000Z,2008-01-27T04:00:00.000Z,5,2,2,6,0,6,0,0,0
157,158,2008-01-27T04:00:00.000Z,2008-01-27T08:00:00.000Z,5,2,2,6,0,6,0,0,0
158,159,2008-01-27T08:00:00.000Z,2008-01-27T12:00:00.000Z,5,2,3,6,0,6,0,0,0
159,160,2008-01-27T12:00:00.000Z,2008-01-27T16:00:00.000Z,5,2,3,5,0,6,0,0,0
160,161,2008-01-27T16:00:00.000Z,2008-01-27T20:00:00.000Z,5,2,3,4,0,6,0,0,0
161,162,2008-01-27T20:00:00.000Z,2008-01-28T00:00:00.000Z,4,2,3,4,0,6,0,0,0
162,163,2008-01-28T00:00:00.000Z,2008-01-28T04:00:00.000Z,4,1,3,3,0,6,0,0,0
163,164,2008-01-28T04:00:00.000Z,2008-01-28T08:00:00.000Z,5,1,3,3,2,6,0,0,0
164,165,2008-01-28T08:00:00.000Z,2008-01-28T12:00:00.000Z,5,2,3,3,2,6,0,0,0
165,166,2008-01-28T12:00:00.000Z,2008-01-28T16:00:00.000Z,5,2,3,3,2,6,0,0,0
166,167,2008-01-28T16:00:00.000Z,2008-01-28T20:00:00.000Z,4,2,4,3,2,5,0,0,0
167,168,2008-01-28T20:00:00.000Z,2008-01-29T00:00:00.000Z,3,2,4,5,2,6,0,0,0
168,169,2008-01-29T00:00:00.000Z,2008-01-29T04:00:00.000Z,3,2,4,5,1,6,0,0,0
169,170,2008-01-29T04:00:00.000Z,2008-01-29T08:00:00.000Z,3,2,4,6,1,6,0,0,0
170,171,2008-01-29T08:00:00.000Z,2008-01-29T12:00:00.000Z,3,4,4,6,1,6,0,0,0
171,172,2008-01-29T12:00:00.000Z,2008-01-29T16:00:00.000Z,4,4,4,6,1,6,0,0,0
172,173,2008-01-29T16:00:00.000Z,2008-01-29T20:00:00.000Z,4,3,4,6,1,6,0,0,0
173,174,2008-01-29T20:00:00.000Z,2008-01-30T00:00:00.000Z,4,3,4,5,1,6,0,0,0
174,175,2008-01-30T00:00:00.000Z,2008-01-30T04:00:00.000Z,4,3,4,6,1,5,0,0,0
175,176,2008-01-30T04:00:00.000Z,2008-01-30T08:00:00.000Z,5,3,4,6,1,5,0,0,0
176,177,2008-01-30T08:00:00.000Z,2008-01-30T12:00:00.000Z,5,4,4,7,1,5,0,0,0
177,178,2008-01-30T12:00:00.000Z,2008-01-30T16:00:00.000Z,6,3,4,7,1,5,0,0,0
178,179,2008-01-30T16:00:00.000Z,2008-01-30T20:00:00.000Z,6,2,5,9,1,6,0,0,0
179,180,2008-01-30T20:00:00.000Z,2008-01-31T00:00:00.000Z,4,1,5,8,1,6,0,0,0
180,181,2008-01-31T00:00:00.000Z,2008-01-31T04:00:00.000Z,4,1,5,8,2,6,0,0,0
181,182,2008-01-31T04:00:00.000Z,2008-01-31T08:00:00.000Z,4,2,5,9,2,6,0,0,0
182,183,2008-01-31T08:00:00.000Z,2008-01-31T12:00:00.000Z,4,3,5,8,2,7,0,0,0
183,184,2008-01-31T12:00:00.000Z,2008-01-31T16:00:00.000Z,3,3,5,9,2,7,0,0,0
184,185,2008-01-31T16:00:00.000Z,2008-01-31T20:00:00.000Z,3,3,5,9,2,7,0,0,0
185,186,2008-01-31T20:00:00.000Z,2008-02-01T00:00:00.000Z,2,2,5,8,1,7,0,0,0
186,187,2008-02-01T00:00:00.000Z,2008-02-01T04:00:00.000Z,2,2,5,6,1,7,0,0,0
187,188,2008-02-01T04:00:00.000Z,2008-02-01T08:00:00.000Z,2,2,5,6,1,7,0,0,0
188,189,2008-02-01T08:00:00.000Z,2008-02-01T12:00:00.000Z,3,3,5,6,1,7,0,0,0
189,190,2008-02-01T12:00:00.000Z,2008-02-01T16:00:00.000Z,4,3,5,5,1,7,0,0,0
190,191,2008-02-01T16:00:00.000Z,2008-02-01T20:00:00.000Z,4,3,4,5,1,8,0,0,0
191,192,2008-02-01T20:00:00.000Z,2008-02-02T00:00:00.000Z,4,3,2,5,1,8,0,0,0
192,193,2008-02-02T00:00:00.000Z,2008-02-02T04:00:00.000Z,5,3,2,4,1,8,0,0,0
193,194,2008-02-02T04:00:00.000Z,2008-02-02T08:00:00.000Z,6,3,2,3,3,8,0,0,0
194,195,2008-02-02T08:00:00.000Z,2008-02-02T12:00:00.000Z,6,3,2,3,3,8,0,0,0
195,196,2008-02-02T12:00:00.000Z,2008-02-02T16:00:00.000Z,6,3,2,3,3,8,0,0,0
196,197,2008-02-02T16:00:00.000Z,2008-02-02T20:00:00.000Z,6,3,2,1,3,9,0,0,0
197,198,2008-02-02T20:00:00.000Z,2008-02-03T00:00:00.000Z,4,2,3,1,2,9,0,0,0
198,199,2008-02-03T00:00:00.000Z,2008-02-03T04:00:00.000Z,4,2,3,1,2,9,0,0,0
199,200,2008-02-03T04:00:00.000Z,2008-02-03T08:00:00.000Z,5,2,3,1,2,9,0,0,0
200,201,2008-02-03T08:00:00.000Z,2008-02-03T12:00:00.000Z,5,2,3,1,2,9,0,0,0
201,202,2008-02-03T12:00:00.000Z,2008-02-03T16:00:00.000Z,5,2,3,1,3,8,0,0,0
202,203,2008-02-03T16:00:00.000Z,2008-02-03T20:00:00.000Z,5,2,4,2,3,8,0,0,0
203,204,2008-02-03T20:00:00.000Z,2008-02-04T00:00:00.000Z,6,1,4,2,4,8,0,0,0
204,205,2008-02-04T00:00:00.000Z,2008-02-04T04:00:00.000Z,6,1,4,2,4,8,0,0,0
205,206,2008-02-04T04:00:00.000Z,2008-02-04T08:00:00.000Z,6,1,4,2,4,8,0,0,0
206,207,2008-02-04T08:00:00.000Z,2008-02-04T12:00:00.000Z,6,2,4,2,4,8,0,0,0
207,208,2008-02-04T12:00:00.000Z,2008-02-04T16:00:00.000Z,6,1,4,2,4,8,0,0,0
208,209,2008-02-04T16:00:00.000Z,2008-02-04T20:00:00.000Z,6,1,4,3,5,8,0,0,0
209,210,2008-02-04T20:00:00.000Z,2008-02-05T00:00:00.000Z,7,1,3,3,6,8,0,0,0
210,211,2008-02-05T00:00:00.000Z,2008-02-05T04:00:00.000Z,7,1,3,3,6,8,0,0,0
211,212,2008-02-05T04:00:00.000Z,2008-02-05T08:00:00.000Z,7,1,3,3,7,7,0,0,0
212,213,2008-02-05T08:00:00.000Z,2008-02-05T12:00:00.000Z,7,1,4,3,7,6,0,0,0
213,214,2008-02-05T12:00:00.000Z,2008-02-05T16:00:00.000Z,7,1,4,3,7,6,0,0,0
214,215,2008-02-05T16:00:00.000Z,2008-02-05T20:00:00.000Z,7,1,5,3,7,6,0,0,0
215,216,2008-02-05T20:00:00.000Z,2008-02-06T00:00:00.000Z,6,1,5,4,5,5,0,0,0
216,217,2008-02-06T00:00:00.000Z,2008-02-06T04:00:00.000Z,6,1,5,3,4,5,0,0,0
217,218,2008-02-06T04:00:00.000Z,2008-02-06T08:00:00.000Z,6,1,5,3,4,5,0,0,0
218,219,2008-02-06T08:00:00.000Z,2008-02-06T12:00:00.000Z,6,1,5,3,4,5,0,0,0
219,220,2008-02-06T12:00:00.000Z,2008-02-06T16:00:00.000Z,7,1,5,3,5,5,0,0,0
220,221,2008-02-06T16:00:00.000Z,2008-02-06T20:00:00.000Z,5,1,5,2,5,5,0,0,0
221,222,2008-02-06T20:00:00.000Z,2008-02-07T00:00:00.000Z,5,1,5,1,5,4,0,0,0
222,223,2008-02-07T00:00:00.000Z,2008-02-07T04:00:00.000Z,5,1,5,1,5,4,0,0,0
223,224,2008-02-07T04:00:00.000Z,2008-02-07T08:00:00.000Z,5,1,5,1,5,4,0,0,0
224,225,2008-02-07T08:00:00.000Z,2008-02-07T12:00:00.000Z,5,1,5,1,5,4,0,0,0
225,226,2008-02-07T12:00:00.000Z,2008-02-07T16:00:00.000Z,5,1,5,1,5,4,0,0,0
226,227,2008-02-07T16:00:00.000Z,2008-02-07T20:00:00.000Z,5,1,4,1,5,4,0,0,0
227,228,2008-02-07T20:00:00.000Z,2008-02-08T00:00:00.000Z,4,1,4,1,5,4,0,0,0
228,229,2008-02-08T00:00:00.000Z,2008-02-08T04:00:00.000Z,4,1,4,1,6,3,0,0,0
229,230,2008-02-08T04:00:00.000Z,2008-02-08T08:00:00.000Z,4,1,4,1,7,3,0,0,0
230,231,2008-02-08T08:00:00.000Z,2008-02-08T12:00:00.000Z,4,1,4,1,7,4,0,0,0
231,232,2008-02-08T12:00:00.000Z,2008-02-08T16:00:00.000Z,4,1,4,1,6,4,0,0,0
232,233,2008-02-08T16:00:00.000Z,2008-02-08T20:00:00.000Z,4,1,3,1,8,5,0,0,0
233,234,2008-02-08T20:00:00.000Z,2008-02-09T00:00:00.000Z,3,1,2,3,7,5,0,0,0
234,235,2008-02-09T00:00:00.000Z,2008-02-09T04:00:00.000Z,3,1,2,3,8,5,0,0,0
235,236,2008-02-09T04:00:00.000Z,2008-02-09T08:00:00.000Z,2,1,2,3,8,5,0,0,0
236,237,2008-02-09T08:00:00.000Z,2008-02-09T12:00:00.000Z,2,2,2,3,8,5,0,0,0
237,238,2008-02-09T12:00:00.000Z,2008-02-09T16:00:00.000Z,2,1,2,3,8,6,0,0,0
238,239,2008-02-09T16:00:00.000Z,2008-02-09T20:00:00.000Z,2,1,2,2,8,4,0,0,0
239,240,2008-02-09T20:00:00.000Z,2008-02-10T00:00:00.000Z,2,0,1,3,8,4,0,0,0
240,241,2008-02-10T00:00:00.000Z,2008-02-10T04:00:00.000Z,2,0,1,3,8,3,0,0,0
241,242,2008-02-10T04:00:00.000Z,2008-02-10T08:00:00.000Z,2,0,0,3,8,3,0,0,0
242,243,2008-02-10T08:00:00.000Z,2008-02-10T12:00:00.000Z,2,0,0,3,8,3,0,0,0
